Generacion,Aptitud,Team Name,Starter,Pokemon1,Pokemon2,Pokemon3,Pokemon4,Pokemon5
1,95,Equipo 29,Blastoise,Tyranitar,Zorua,Wishiwashi,Larvesta,Gyarados
1,95,Equipo 30,Blastoise,Tyranitar,Zorua,Wishiwashi,Larvesta,Gyarados
1,86,Equipo 21,Cyndaquil,Archeops,Blastoise,Wartortle,Haunter,Greninja
1,85,Equipo 10,Cryogonal,Kommo-o,Lycanroc,Salamence,Phantump,Yamask
1,85,Equipo 4,Cryogonal,Kommo-o,Lycanroc,Salamence,Phantump,Yamask
1,83,Equipo 15,Primarina,Muk,Goodra,Spinarak,Krokorok,Alakazam
1,83,Equipo 25,Dragonite,Ninetales,Croconaw,Primeape,Simisear,Skuntank
1,77,Equipo 12,Meowstic-F,Tentacool,Venusaur,Tropius,Omastar,Slurpuff
1,77,Equipo 21,Cyndaquil,Archeops,Blastoise,Wartortle,Haunter,Cinccino
1,76,Equipo 25,Dragonite,Ninetales,Croconaw,Minior,Mime Jr.,Krabby
2,95,Equipo 29,Blastoise,Tyranitar,Zorua,Wishiwashi,Larvesta,Gyarados
2,94,Equipo 30,Blastoise,Tyranitar,Zorua,Wishiwashi,Larvesta,Gyarados
2,94,Equipo 29,Blastoise,Tyranitar,Zorua,Wishiwashi,Larvesta,Gyarados
2,92,Equipo 25,Dragonite,Archeops,Blastoise,Wartortle,Haunter,Cinccino
2,92,Equipo 15,Primarina,Muk,Sneasel,Pinsir,Fomantis,Aerodactyl
2,90,Equipo 24,Braviary,Volbeat,Roselia,Amoonguss,Silvally,Skiddo
2,88,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
2,87,Equipo 30,Blastoise,Tyranitar,Zorua,Wishiwashi,Wigglytuff,Rufflet
2,87,Equipo 1,Gyarados,Staravia,Lycanroc,Salamence,Phantump,Yamask
2,86,Equipo 21,Cyndaquil,Archeops,Blastoise,Wartortle,Haunter,Greninja
3,89,Equipo 29,Blastoise,Tyranitar,Zorua,Wishiwashi,Larvesta,Gyarados
3,89,Equipo 30,Blastoise,Tyranitar,Zorua,Wishiwashi,Larvesta,Gyarados
3,88,Equipo 29,Blastoise,Tyranitar,Zorua,Wishiwashi,Larvesta,Gyarados
3,88,Equipo 29,Blastoise,Tyranitar,Zorua,Wishiwashi,Larvesta,Gyarados
3,88,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Cinccino
3,87,Equipo 29,Blastoise,Pidgeot,Emolga,Feraligatr,Phanpy,Rattata
3,86,Equipo 24,Braviary,Volbeat,Roselia,Amoonguss,Silvally,Skiddo
3,86,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
3,86,Equipo 1,Gyarados,Staravia,Lycanroc,Salamence,Phantump,Yamask
3,86,Equipo 10,Ivysaur,Pidgeot,Emolga,Wishiwashi,Larvesta,Gyarados
4,93,Equipo 3,Kommo-o,Lopunny,Sawk,Bulbasaur,Wormadam,Gyarados
4,90,Equipo 29,Blastoise,Volbeat,Roselia,Amoonguss,Silvally,Skiddo
4,90,Equipo 1,Gyarados,Staravia,Lycanroc,Salamence,Larvesta,Audino
4,89,Equipo 6,Garchomp,Samurott,Gligar,Mr. Mime,Hoothoot,Cinccino
4,88,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Cinccino
4,87,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
4,86,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
4,85,Equipo 24,Braviary,Volbeat,Roselia,Amoonguss,Silvally,Skiddo
4,85,Equipo 1,Gyarados,Staravia,Lycanroc,Salamence,Phantump,Yamask
4,85,Equipo 4,Salamence,Kommo-o,Lycanroc,Cryogonal,Lickitung,Quagsire
5,94,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Herdier
5,93,Equipo 3,Kommo-o,Lopunny,Sawk,Bulbasaur,Wormadam,Gyarados
5,93,Equipo 12,Kommo-o,Lopunny,Sawk,Bulbasaur,Wormadam,Gyarados
5,88,Equipo 29,Blastoise,Volbeat,Roselia,Amoonguss,Silvally,Skiddo
5,88,Equipo 6,Garchomp,Samurott,Gligar,Mr. Mime,Hoothoot,Cinccino
5,87,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
5,86,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
5,86,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
5,85,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Cinccino
5,85,Equipo 6,Garchomp,Krookodile,Lycanroc,Cryogonal,Lickitung,Quagsire
6,98,Equipo 6,Garchomp,Krookodile,Gligar,Goldeen,Mantyke,Slaking
6,95,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Herdier
6,88,Equipo 3,Kommo-o,Lopunny,Sawk,Bulbasaur,Wormadam,Gyarados
6,87,Equipo 12,Kommo-o,Lopunny,Sawk,Bulbasaur,Wormadam,Gyarados
6,87,Equipo 6,Garchomp,Samurott,Gligar,Mr. Mime,Hoothoot,Cinccino
6,87,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
6,87,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
6,86,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
6,86,Equipo 6,Garchomp,Samurott,Gligar,Mr. Mime,Hoothoot,Cinccino
6,84,Equipo 6,Garchomp,Krookodile,Emolga,Feraligatr,Phanpy,Rattata
7,97,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Herdier
7,96,Equipo 6,Garchomp,Krookodile,Gligar,Goldeen,Mantyke,Slaking
7,95,Equipo 25,Clawitzer,Audino,Phione,Combusken,Aerodactyl,Slaking
7,94,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Tranquill
7,84,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
7,84,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
7,84,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
7,84,Equipo 6,Garchomp,Lopunny,Sawk,Bulbasaur,Wormadam,Gyarados
7,83,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
7,83,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Hoothoot,Heracross
8,94,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Herdier
8,94,Equipo 25,Clawitzer,Audino,Phione,Combusken,Aerodactyl,Slaking
8,91,Equipo 6,Garchomp,Krookodile,Gligar,Goldeen,Mantyke,Slaking
8,90,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Mantyke,Slaking
8,89,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Tranquill
8,89,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Tranquill
8,85,Equipo 3,Kommo-o,Lopunny,Manectric,Mienfoo,Pyroar,Noibat
8,83,Equipo 3,Kommo-o,Lopunny,Manectric,Mienfoo,Whirlipede,Infernape
8,82,Equipo 22,Boldore,Whismur,Heliolisk,Dragalge,Mantyke,Slaking
8,82,Equipo 6,Aggron,Dunsparce,Sylveon,Charmeleon,Houndoom,Lucario
9,96,Equipo 3,Kommo-o,Lopunny,Gligar,Goldeen,Mantyke,Slaking
9,92,Equipo 25,Clawitzer,Audino,Phione,Combusken,Aerodactyl,Slaking
9,91,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Herdier
9,91,Equipo 25,Clawitzer,Audino,Phione,Combusken,Aerodactyl,Slaking
9,89,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Fearow
9,87,Equipo 6,Garchomp,Krookodile,Gligar,Goldeen,Mantyke,Slaking
9,87,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Tranquill
9,86,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Mantyke,Slaking
9,86,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Tranquill
9,85,Equipo 6,Garchomp,Lopunny,Sawk,Mienfoo,Whirlipede,Infernape
10,91,Equipo 3,Kommo-o,Lopunny,Gligar,Goldeen,Mantyke,Slaking
10,91,Equipo 3,Kommo-o,Lopunny,Gligar,Goldeen,Mantyke,Slaking
10,88,Equipo 25,Clawitzer,Audino,Phione,Combusken,Aerodactyl,Slaking
10,87,Equipo 25,Clawitzer,Audino,Phione,Combusken,Aerodactyl,Slaking
10,87,Equipo 6,Garchomp,Krookodile,Gligar,Charmeleon,Houndoom,Lucario
10,87,Equipo 5,Clawitzer,Audino,Phione,Combusken,Aerodactyl,Slaking
10,86,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Herdier
10,81,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Metagross,Fearow
10,81,Equipo 6,Garchomp,Krookodile,Gligar,Goldeen,Mantyke,Slaking
10,81,Equipo 6,Garchomp,Krookodile,Gligar,Mr. Mime,Mantyke,Slaking
